2018-03-13T13:15:00.000-0700	 14,690,371 	2018-03-20T13:15:00.000-0700	 14,835,587 
2018-03-13T13:30:00.000-0700	 14,696,403 	2018-03-20T13:30:00.000-0700	 14,846,777 
2018-03-13T13:45:00.000-0700	 14,705,564 	2018-03-20T13:45:00.000-0700	 14,852,790 
2018-03-13T14:00:00.000-0700	 14,721,118 	2018-03-20T14:00:00.000-0700	 14,869,290 
2018-03-13T14:15:00.000-0700	 14,738,826 	2018-03-20T14:15:00.000-0700	 14,885,186 
2018-03-13T14:30:00.000-0700	 14,731,697 	2018-03-20T14:30:00.000-0700	 14,876,773 
2018-03-13T14:45:00.000-0700	 14,719,470 	2018-03-20T14:45:00.000-0700	 14,860,494 
2018-03-13T15:00:00.000-0700	 14,704,139 	2018-03-20T15:00:00.000-0700	 14,842,620 
2018-03-13T15:15:00.000-0700	 14,685,337 	2018-03-20T15:15:00.000-0700	 14,823,450 
2018-03-13T15:30:00.000-0700	 14,645,294 	2018-03-20T15:30:00.000-0700	 14,780,912 
2018-03-13T15:45:00.000-0700	 14,607,462 	2018-03-20T15:45:00.000-0700	 14,737,322 
2018-03-13T16:00:00.000-0700	 14,568,062 	2018-03-20T16:00:00.000-0700	 14,693,628 
2018-03-13T16:15:00.000-0700	 14,535,837 	2018-03-20T16:15:00.000-0700	 14,658,902 
2018-03-13T16:30:00.000-0700	 14,499,099 	2018-03-20T16:30:00.000-0700	 14,620,696 
2018-03-13T16:45:00.000-0700	 14,466,471 	2018-03-20T16:45:00.000-0700	 14,586,014 
2018-03-13T17:00:00.000-0700	 14,436,228 	2018-03-20T17:00:00.000-0700	 14,556,801 
2018-03-13T17:15:00.000-0700	 14,410,002 	2018-03-20T17:15:00.000-0700	 14,528,244 
2018-03-13T17:30:00.000-0700	 14,375,244 	2018-03-20T17:30:00.000-0700	 14,491,690 
2018-03-13T17:45:00.000-0700	 14,340,198 	2018-03-20T17:45:00.000-0700	 14,454,911 
2018-03-13T18:00:00.000-0700	 14,305,123 	2018-03-20T18:00:00.000-0700	 14,421,154 
2018-03-13T18:15:00.000-0700	 14,272,041 	2018-03-20T18:15:00.000-0700	 14,388,304 
2018-03-13T18:30:00.000-0700	 14,233,715 	2018-03-20T18:30:00.000-0700	 14,349,087 
2018-03-13T18:45:00.000-0700	 14,196,656 	2018-03-20T18:45:00.000-0700	 14,313,941 
2018-03-13T19:00:00.000-0700	 14,166,131 	2018-03-20T19:00:00.000-0700	 14,284,081 
2018-03-13T19:15:00.000-0700	 14,135,843 	2018-03-20T19:15:00.000-0700	 14,254,767 
2018-03-13T19:30:00.000-0700	 14,103,971 	2018-03-20T19:30:00.000-0700	 14,224,472 
2018-03-13T19:45:00.000-0700	 14,071,736 	2018-03-20T19:45:00.000-0700	 14,195,351 
2018-03-13T20:00:00.000-0700	 14,047,402 	2018-03-20T20:00:00.000-0700	 14,169,872 
2018-03-13T20:15:00.000-0700	 14,024,038 	2018-03-20T20:15:00.000-0700	 14,145,837 
2018-03-13T20:30:00.000-0700	 14,000,105 	2018-03-20T20:30:00.000-0700	 14,122,206 
2018-03-13T20:45:00.000-0700	 13,975,773 	2018-03-20T20:45:00.000-0700	 14,100,321 
2018-03-13T21:00:00.000-0700	 13,958,254 	2018-03-20T21:00:00.000-0700	 14,082,993 
2018-03-13T21:15:00.000-0700	 13,938,722 	2018-03-20T21:15:00.000-0700	 14,065,935 
2018-03-13T21:30:00.000-0700	 13,919,128 	2018-03-20T21:30:00.000-0700	 14,047,926 
2018-03-13T21:45:00.000-0700	 13,902,395 	2018-03-20T21:45:00.000-0700	 14,032,349 
2018-03-13T22:00:00.000-0700	 13,889,156 	2018-03-20T22:00:00.000-0700	 14,018,586 
2018-03-13T22:15:00.000-0700	 13,875,131 	2018-03-20T22:15:00.000-0700	 14,006,414 
2018-03-13T22:30:00.000-0700	 13,862,068 	2018-03-20T22:30:00.000-0700	 13,995,208 
2018-03-13T22:45:00.000-0700	 13,851,741 	2018-03-20T22:45:00.000-0700	 13,984,908 
2018-03-13T23:00:00.000-0700	 13,843,802 	2018-03-20T23:00:00.000-0700	 13,976,940 
2018-03-13T23:15:00.000-0700	 13,835,443 	2018-03-20T23:15:00.000-0700	 13,968,452 
2018-03-13T23:30:00.000-0700	 13,829,307 	2018-03-20T23:30:00.000-0700	 13,962,312 
2018-03-13T23:45:00.000-0700	 13,823,391 	2018-03-20T23:45:00.000-0700	 13,956,078 
